Record Type,Material Number,Material Description,Receiving Plant Location,MRP Quantity,Order Unit,Delivery Date,Document Type,Document Number,Planned Delivery,"Time,Commit Zone (Days)",Commit Zone Quantity,Price,Per,Price Unit,Currency,Commodity Code,Material Status,Status valid from,Vendor Number,Vendor Name,Creation Date,ECM No
H,P1G3010705,DECO. JAR 50ML/COPY CHAN,,203760,,,,,0,168,"106,560",830.79,1000,EA,EUR,Jars - Plastic,,0,10107689,TECHNIMARK GMBH,20200116,
D,P1G3010705,,Whitman UK,10800,EA,1/21/2020,ASN,4502052789/00010,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,7200,EA,1/22/2020,ASN,4502057947/00010,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,10080,EA,2/4/2020,OA,4502070666/00010,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,10080,EA,3/20/2020,EXP,4502070667/00010,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,10800,EA,3/24/2020,PR,1355008717/00999,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,3600,EA,4/21/2020,PR,1355008718/00999,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,18720,EA,4/21/2020,PR,1357407750/00999,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,5040,EA,5/19/2020,PR,1355008720/00999,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,2880,EA,5/26/2020,PR,1355008721/00999,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,18000,EA,6/2/2020,PR,1355008722/00999,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,2880,EA,6/16/2020,PR,1355008723/00999,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,6480,EA,6/23/2020,PR,1355008724/00999,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,21600,EA,7/14/2020,PR,1355008725/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,3600,EA,7/21/2020,PR,1355008726/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,5760,EA,8/11/2020,PR,1355008727/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,16560,EA,9/1/2020,PR,1355008719/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,12240,EA,9/15/2020,PR,1355008728/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,720,EA,10/6/2020,PR,1355008729/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,5040,EA,10/13/2020,PR,1355008730/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,15840,EA,10/20/2020,PR,1357407751/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,7200,EA,11/10/2020,PR,1355008731/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,5760,EA,12/1/2020,PR,1355008732/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3010705,,Whitman UK,2880,EA,1/5/2021,PR,1355008733/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
H,P1G3016705,DECO. JAR 50ML/COPY CHAN,,16560,,,,,0,168,"8,640",1014.27,1000,EA,EUR,Jars - Plastic,,0,10107689,TECHNIMARK GMBH,20200116,
D,P1G3016705,,Whitman UK,2160,EA,2/18/2020,OA,4502073530/00010,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3016705,,Whitman UK,2160,EA,3/16/2020,PR,1355008946/00999,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3016705,,Whitman UK,720,EA,4/16/2020,PR,1355008947/00999,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3016705,,Whitman UK,2160,EA,5/13/2020,PR,1355008948/00999,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3016705,,Whitman UK,1440,EA,6/8/2020,PR,1355008949/00999,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3016705,,Whitman UK,2160,EA,7/10/2020,PR,1355008950/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3016705,,Whitman UK,1440,EA,9/2/2020,PR,1355008951/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3016705,,Whitman UK,2160,EA,9/30/2020,PR,1355008952/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3016705,,Whitman UK,720,EA,10/28/2020,PR,1355008953/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G3016705,,Whitman UK,1440,EA,11/20/2020,PR,1355008954/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
H,P1G7010704,DECO.JAR 50ML/COPY CHANG,,172080,,,,,0,168,"44,640",830.79,1000,EA,EUR,Jars - Plastic,,0,10107689,TECHNIMARK GMBH,20200116,
D,P1G7010704,,Whitman UK,8640,EA,3/27/2020,EXP,4502070668/00010,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,10080,EA,4/15/2020,PR,1355009991/00999,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,13680,EA,5/8/2020,PR,1355009992/00999,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,12240,EA,6/8/2020,PR,1355009993/00999,28,0,COMMIT,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,16560,EA,7/6/2020,PR,1355009994/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,16560,EA,8/3/2020,PR,1355009995/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,10800,EA,8/28/2020,PR,1355009996/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,17280,EA,9/30/2020,PR,1355009997/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,5760,EA,10/28/2020,PR,1355009998/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,9360,EA,11/25/2020,PR,1355009999/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,7920,EA,12/17/2020,PR,1355010000/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,6480,EA,1/20/2021,PR,1355010001/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,3600,EA,2/18/2021,PR,1355010002/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,4320,EA,3/16/2021,PR,1355010003/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,3600,EA,4/14/2021,PR,1355010004/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,3600,EA,5/12/2021,PR,1355010005/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,4320,EA,6/10/2021,PR,1355010006/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,3600,EA,7/8/2021,PR,1355010007/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,4320,EA,8/4/2021,PR,1355010008/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,3600,EA,9/2/2021,PR,1355010009/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,3600,EA,9/30/2021,PR,1355010010/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
D,P1G7010704,,Whitman UK,2160,EA,10/28/2021,PR,1355010011/00999,28,0,,0,0,,,,In Line,20180810,10107689,,20200116,
H,P3N1010703,DECO.JAR 50ML/GERMANY,,138960,,,,,0,168,"55,440",826.92,1000,EA,EUR,Jars - Plastic,,0,10107689,TECHNIMARK GMBH,20200116,
D,P3N1010703,,Whitman UK,4320,EA,1/23/2020,ASN,4502052787/00010,28,0,COMMIT,0,0,,,,In Line,20180313,10107689,,20200116,
D,P3N1010703,,Whitman UK,3600,EA,3/10/2020,OA,4502073175/00010,28,0,COMMIT,0,0,,,,In Line,20180313,10107689,,20200116,
D,P3N1010703,,Whitman UK,20160,EA,3/19/2020,PR,1355015135/00999,28,0,COMMIT,0,0,,,,In Line,20180313,10107689,,20200116,
D,P3N1010703,,Whitman UK,5760,EA,4/20/2020,PR,1355015136/00999,28,0,COMMIT,0,0,,,,In Line,20180313,10107689,,20200116,
D,P3N1010703,,Whitman UK,7920,EA,5/5/2020,PR,1357429568/00999,28,0,COMMIT,0,0,,,,In Line,20180313,10107689,,20200116,
D,P3N1010703,,Whitman UK,2880,EA,5/13/2020,PR,1355015137/00999,28,0,COMMIT,0,0,,,,In Line,20180313,10107689,,20200116,
